"","x"
"Doc01.txt",1
"Doc02.txt",1
"Doc03.txt",2
"Doc04.txt",1
"Doc05.txt",1
"Doc06.txt",2
"Doc07.txt",2
"Doc08.txt",3
"Doc09.txt",1
"Doc10.txt",1
"Doc11.txt",2
"Doc12.txt",1
"Doc13.txt",2
"Doc14.txt",3
"Doc15.txt",1
"Doc16.txt",1
"Doc17.txt",1
"Doc18.txt",1
"Doc19.txt",2
"Doc20.txt",1
"Doc21.txt",2
"Doc22.txt",1
"Doc23.txt",1
"Doc24.txt",1
"Doc25.txt",1
"Doc26.txt",2
"Doc27.txt",1
"Doc28.txt",1
"Doc29.txt",2
"Doc30.txt",2
"Doc31.txt",2
"Doc32.txt",3
"Doc33.txt",2
"Doc34.txt",1
"Doc35.txt",1
"Doc36.txt",1
"Doc37.txt",2
"Doc38.txt",2
"Doc39.txt",1
"Doc40.txt",2
"Doc41.txt",1
