"","x"
"abandon",5.02974734339405
"abandoned",0
"abandonment",0
"abashed",0
"abatement",0
"abc",0
"abide",0
"abiding",0
"abilities",6.61470984411521
"ability",0
"able",2.29278174922785
"ablest",0
"aboard",0
"abolish",0
"abolished",0
"abolition",0
"abolitionist",0
"abolitionists",0
"aboriginal",0
"aborted",0
"abortion",0
"abortions",0
"abounds",6.61470984411521
"abraham",0
"abridge",0
"abridged",0
"abridgement",0
"abroad",3.15527822547791
"absence",0
"absolute",0
"absolutely",3.29278174922785
"abstaining",0
"abstract",0
"absurd",0
"absurdity",0
"abuja",0
"abundance",0
"abundant",4.61470984411521
"abundantly",0
"abuse",0
"abused",0
"abuses",5.61470984411521
"academia",0
"academic",0
"academies",0
"acceded",6.61470984411521
"accelerate",5.61470984411521
"accept",0
"acceptable",0
"acceptance",0
"accepted",0
"accepts",0
"access",0
"accessible",0
"accession",0
"accident",0
"accidental",0
"accidents",0
"accommodate",5.02974734339405
"accommodation",4.02974734339405
"accommodations",0
"accompanied",0
"accompanies",0
"accompany",0
"accompanying",0
"accomplish",0
"accomplished",0
"accomplishment",0
"accomplishments",0
"accord",0
"according",3.4447848426729
"accordingly",0
"accords",0
"account",0
"accountabilities",0
"accountability",0
"accountable",0
"accounts",0
"accumulate",0
"accumulation",0
"accuracy",0
"accurate",0
"accusations",0
"ace",0
"aces",0
"acheson",0
"achieve",0
"achieved",0
"achievement",0
"achievements",0
"acid",0
"acknoleged",0
"acknowledge",0
"acknowledged",0
"acknowledging",0
"acknowledgment",0
"aclu",0
"acquaintances",0
"acquainted",0
"acquiesce",0
"acquiesced",0
"acquiescence",0
"acquire",0
"acquired",0
"acquiring",0
"acquisition",0
"acquisitions",4.61470984411521
"acquit",0
"acre",0
"acres",0
"across",0
"acrosstheboard",0
"act",1.70781924850669
"acted",0
"actgreat",0
"acting",0
"action",0
"actions",0
"active",0
"actively",0
"activism",0
"activities",0
"activity",0
"actnow",0
"actor",0
"acts",2.91427012597412
"actthe",0
"actual",3.15527822547791
"actually",0
"actuarial",0
"actuate",0
"acute",0
"adam",0
"adams",0
"adapt",0
"adaptation",0
"adaptationit",0
"adaptations",0
"adapted",0
"add",0
"added",0
"addicted",0
"addiction",0
"adding",0
"addition",6.88956968534579
"additional",0
"additions",0
"address",0
"addressed",0
"addresses",0
"addressing",0
"adequate",4.61470984411521
"adequately",0
"adhere",0
"adherence",0
"adherents",0
"adherentswe",0
"adheres",0
"adhering",0
"adjacent",0
"adjective",0
"adjoining",0
"adjoins",0
"adjourned",0
"adjourning",0
"adjournment",0
"adjust",5.02974734339405
"adjusted",0
"adjustment",0
"adkisson",0
"administer",0
"administered",0
"administration",1.91427012597412
"administrationhelped",0
"administrations",0
"administrative",0
"administrator",0
"admiration",0
"admired",0
"admission",0
"admit",0
"admits",0
"admitted",0
"admittedly",0
"admitting",0
"admonish",5.61470984411521
"adopt",7.22941968823042
"adopted",0
"adopting",0
"adoption",0
"adoptionthat",0
"adoptive",0
"adore",0
"adorn",0
"adult",0
"advance",0
"advanced",0
"advancement",0
"advancements",0
"advances",4.29278174922785
"advantage",3.02974734339405
"advantageous",0
"advantageously",0
"advantages",3.8073549220576
"adventitious",0
"adversaries",0
"adversary",0
"adverse",0
"adversely",0
"adversity",0
"advert",0
"adverting",0
"advice",0
"advise",0
"adviseable",0
"adviser",0
"advisor",0
"advocacy",0
"advocate",0
"advocated",0
"advocates",0
"aeronautics",0
"aerospace",0
"affair",0
"affairs",8.12345774552007
"affairsthey",0
"affect",3.8073549220576
"affected",0
"affecting",0
"affection",0
"affectionate",0
"affections",9.22941968823042
"affiliation",0
"affirm",0
"affirmation",0
"affirmations",0
"affirmative",0
"affirmed",0
"affirms",0
"afflicted",0
"affliction",0
"afflictive",0
"affluence",0
"afford",2.61470984411521
"affordable",0
"afforded",5.61470984411521
"affording",0
"afghanistan",0
"afraid",0
"africa",0
"african",0
"aftermath",0
"afternoon",0
"afterward",0
"afterwards",4.29278174922785
"againto",0
"age",0
"agencies",0
"agency",0
"agenda",0
"agent",0
"agents",0
"ages",0
"aggie",0
"aggravated",0
"aggravation",0
"aggregate",0
"aggression",0
"aggressions",4.61470984411521
"aggressive",0
"aggressors",0
"aging",0
"agitate",0
"agitated",0
"agitation",0
"ago",0
"agonized",0
"agonizing",0
"agony",0
"agree",0
"agreeable",5.02974734339405
"agreeably",0
"agreed",0
"agreeing",0
"agreement",0
"agreements",0
"agrees",0
"agricultural",0
"agriculture",0
"ahead",0
"ahepa",0
"aid",0
"aided",0
"aides",0
"aiding",0
"aids",0
"aim",0
"aimed",0
"aims",0
"air",0
"aircraft",0
"airlift",0
"airplane",0
"airplanes",0
"airport",0
"airports",0
"airwaves",0
"aisle",0
"akin",0
"alabama",0
"alacrity",0
"alarm",0
"alarmed",0
"alarming",5.61470984411521
"alas",0
"alaska",0
"albania",0
"albert",0
"aldous",0
"alexander",0
"alexandria",0
"alienate",0
"aliens",0
"alike",0
"alive",0
"allay",0
"allayed",0
"allbut",0
"allege",0
"alleged",0
"allegiance",0
"allen",0
"alliance",5.02974734339405
"alliances",0
"allied",0
"allies",3.02974734339405
"allocate",0
"allocated",0
"allocating",0
"allotment",0
"allotted",0
"allow",0
"allowance",0
"allowed",0
"allowing",0
"allows",0
"allude",0
"alluded",0
"alluding",0
"allusion",0
"ally",0
"almighty",0
"almost",0
"alone",0
"along",0
"alongside",0
"already",0
"also",0
"alter",0
"alteration",0
"altercation",0
"altered",0
"alternate",0
"alternative",0
"alternatives",0
"altho",0
"although",13.1711269969114
"altogether",0
"always",2.0911478880582
"alzheimers",0
"amateurish",0
"amazed",0
"amazing",0
"ambassador",0
"ambition",0
"ambitions",0
"ambitious",0
"ambivalence",0
"ameliorating",0
"amen",0
"amend",0
"amendatory",0
"amended",0
"amending",0
"amendment",0
"amendments",0
"america",3.51345769797527
"americabr",0
"american",10.1134938987103
"americans",0
"americanslet",0
"americas",0
"amiable",0
"amicable",9.22941968823042
"amidst",0
"amities",0
"amity",4.29278174922785
"ammunition",0
"among",1.61470984411521
"amongst",0
"amount",0
"amounts",0
"amphibious",0
"ample",5.02974734339405
"amsterdam",5.61470984411521
"analysis",0
"anarchy",0
"ancestors",0
"anchor",0
"ancient",0
"andre",0
"andrei",0
"andy",0
"anew",0
"angel",0
"angeles",0
"angels",0
"anger",0
"angola",0
"angry",0
"anguish",0
"animal",0
"animals",0
"animated",0
"animosities",4.61470984411521
"animosity",0
"ann",0
"annals",0
"annan",0
"anne",0
"annexed",0
"annexing",0
"anniversaries",0
"anniversary",0
"announce",0
"announced",0
"announcement",0
"announcements",0
"announcing",0
"annoyed",6.61470984411521
"annoying",6.61470984411521
"annual",0
"annually",0
"another",3.71964468390348
"answer",2.70781924850669
"answered",0
"answering",0
"answers",4.02974734339405
"ant",0
"antagonism",0
"antagonisms",0
"antagonists",0
"anterevolutionary",0
"anticipate",0
"anticipating",0
"anticipation",0
"anticipations",0
"antiquated",0
"antiquity",0
"antislavery",0
"antiterrorism",0
"antiterrorist",0
"antithesis",0
"antiu",0
"antwerp",0
"anxieties",0
"anxiety",0
"anxious",0
"anybody",0
"anymore",0
"anyone",0
"anything",0
"anytime",0
"anyway",0
"anywhere",0
"apart",0
"apartment",0
"apathy",0
"aphorismthis",0
"apologies",0
"apology",0
"apostrophised",0
"apparatus",0
"apparent",0
"apparently",0
"appeal",0
"appealed",0
"appeals",0
"appear",2.91427012597412
"appearance",0
"appearances",0
"appeared",3.8073549220576
"appearing",0
"appears",7.22941968823042
"appeasement",0
"applaud",0
"applauded",0
"applause",0
"applausemy",0
"applausethere",0
"applicable",0
"application",0
"applications",0
"applied",0
"applies",0
"apply",3.61470984411521
"applying",0
"appoint",0
"appointed",3.61470984411521
"appointees",0
"appointment",0
"appointments",0
"appoints",0
"appreciate",0
"appreciation",0
"appreciative",0
"apprehend",0
"apprehended",0
"apprehending",0
"apprehends",0
"apprehension",0
"apprehensions",0
"apprehensive",0
"apprenticeship",0
"apprised",0
"apprized",0
"approach",0
"approaches",0
"approaching",0
"approbation",0
"appropriate",0
"appropriated",0
"appropriately",0
"appropriates",0
"appropriating",0
"appropriation",0
"appropriations",0
"approval",0
"approve",0
"approved",0
"approximately",0
"april",0
"apt",0
"aptest",0
"aptly",0
"aquino",0
"arbella",0
"arbitrarily",0
"arbitration",0
"architects",6.61470984411521
"ardent",0
"ardently",0
"ardor",5.61470984411521
"arduous",0
"area",0
"areas",0
"arent",0
"argonne",0
"argue",0
"argued",0
"argues",0
"arguing",0
"argument",0
"argumenti",0
"arguments",0
"argumentsome",0
"arise",0
"arisen",0
"arises",0
"arising",3.8073549220576
"arithmetic",0
"arizona",0
"arkansas",0
"arlington",0
"arm",0
"armament",0
"armed",3.15527822547791
"armenia",0
"armies",0
"arming",5.61470984411521
"arms",0
"army",4.02974734339405
"arose",0
"around",0
"aroused",0
"arrange",0
"arrangement",0
"arrangements",5.02974734339405
"array",0
"arrayed",0
"arrears",0
"arrest",0
"arrested",0
"arrival",4.29278174922785
"arrive",0
"arrived",0
"arriving",0
"arrogance",0
"arsenal",0
"arsenals",0
"art",0
"article",0
"articles",0
"articulate",0
"artifice",0
"artillery",5.02974734339405
"artists",0
"arts",0
"ascertain",3.8073549220576
"ascertained",0
"ascertaining",0
"ascertainment",0
"ascribed",6.61470984411521
"ashes",0
"ashore",0
"asia",0
"asian",0
"aside",0
"ask",0
"asked",0
"asking",0
"asks",0
"aspect",0
"aspects",0
"aspin",0
"aspiration",0
"aspirations",0
"assail",0
"assailed",0
"assailing",0
"assassination",0
"assault",0
"assaults",0
"assemblage",0
"assemble",0
"assembled",0
"assembly",0
"assert",0
"asserted",0
"asserting",0
"assertion",0
"assessment",0
"assets",0
"assign",0
"assignment",0
"assist",0
"assistance",0
"assistants",0
"assisted",0
"assisting",0
"associated",0
"associates",0
"association",0
"assume",0
"assumed",0
"assumes",0
"assuming",0
"assumption",0
"assurance",0
"assurances",0
"assure",0
"assured",0
"assures",0
"assuring",0
"astonishing",0
"astonishment",0
"astounded",0
