"","adams_speeches_000.txt","adams_speeches_001.txt","adams_speeches_002.txt","adams_speeches_003.txt","adams_speeches_004.txt","adams_speeches_005.txt","adams_speeches_006.txt","bush_speeches_000.txt","bush_speeches_001.txt","bush_speeches_002.txt","bush_speeches_003.txt","bush_speeches_004.txt","bush_speeches_005.txt","clinton_speeches_000.txt","clinton_speeches_001.txt","clinton_speeches_002.txt","clinton_speeches_003.txt","clinton_speeches_004.txt","clinton_speeches_005.txt","gwbush_speeches_000.txt","gwbush_speeches_001.txt","gwbush_speeches_002.txt","gwbush_speeches_003.txt","gwbush_speeches_004.txt","gwbush_speeches_005.txt","jefferson_speeches_001.txt","jefferson_speeches_002.txt","jefferson_speeches_003.txt","jefferson_speeches_004.txt","jefferson_speeches_005.txt","jefferson_speeches_006.txt","lincoln_speeches_000.txt","lincoln_speeches_001.txt","lincoln_speeches_002.txt","lincoln_speeches_003.txt","lincoln_speeches_004.txt","lincoln_speeches_005.txt","reagan_speeches_000.txt","reagan_speeches_001.txt","reagan_speeches_002.txt","reagan_speeches_003.txt","reagan_speeches_004.txt","reagan_speeches_005.txt","washington_speeches_000.txt","washington_speeches_001.txt","washington_speeches_002.txt","washington_speeches_003.txt","washington_speeches_004.txt","washington_speeches_005.txt"
"adams_speeches_000.txt",0,0.953,0.997,0.969,0.996,0.997,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.928,0.937,0.992,0.89,0.986,0.963,0,0,0,0,0,0.875,0,0,0,0,0,0,0.942,0.99,0.969,0.981,0.917,0.989
"adams_speeches_001.txt",0.953,0,0.951,0.991,0.969,0.951,0.934,0,0,0,0.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995,0.989,0.973,0.973,0.964,0.948,0,0,0,0.829,0,0.938,0,0,0,0,0,0,0.997,0.974,0.993,0.98,0.989,0.971
"adams_speeches_002.txt",0.997,0.951,0,0.968,0.996,0.999,0.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932,0.945,0.994,0.897,0.991,0.981,0,0,0,0,0,0.879,0,0,0,0,0,0,0.945,0.994,0.969,0.986,0.916,0.993
"adams_speeches_003.txt",0.969,0.991,0.968,0,0.984,0.969,0.912,0,0,0,0.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978,0.976,0.986,0.966,0.981,0.96,0,0,0,0,0,0.889,0,0,0,0,0,0,0.991,0.987,0.984,0.991,0.982,0.975
"adams_speeches_004.txt",0.996,0.969,0.996,0.984,0,0.997,0.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949,0.954,0.998,0.919,0.995,0.974,0,0,0,0,0,0.881,0,0,0,0,0,0,0.964,0.997,0.978,0.993,0.941,0.994
"adams_speeches_005.txt",0.997,0.951,0.999,0.969,0.997,0,0.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.94,0.993,0.891,0.99,0.973,0,0,0,0,0,0.871,0,0,0,0,0,0,0.945,0.992,0.966,0.985,0.914,0.992
"adams_speeches_006.txt",0.818,0.934,0.819,0.912,0.851,0.824,0,0,0,0,0.874,0,0,0,0,0,0,0,0,0,0.806,0,0,0,0,0.947,0.941,0.851,0.937,0.834,0.845,0,0,0,0.871,0,0.85,0,0,0,0,0,0,0.936,0.857,0.903,0.866,0.927,0.841
"bush_speeches_000.txt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bush_speeches_001.txt",0,0,0,0,0,0,0,0,0,0.978,0.877,0.896,0.898,0.978,0.954,0.922,0.98,0.873,0,0,0.978,0.976,0.971,0.877,0.976,0,0,0,0.831,0,0,0,0,0,0.935,0,0,0.852,0,0.976,0.98,0.981,0.99,0,0,0,0,0,0
"bush_speeches_002.txt",0,0,0,0,0,0,0,0,0.978,0,0.827,0.899,0.883,0.967,0.926,0.917,0.94,0.909,0,0,0.927,0.947,0.966,0.872,0.928,0,0,0,0,0,0,0,0,0,0.849,0,0,0.91,0.851,0.988,0.959,0.976,0.962,0,0,0,0,0,0
"bush_speeches_003.txt",0,0.851,0,0.846,0,0,0.874,0,0.877,0.827,0,0.888,0,0.918,0,0,0.908,0,0,0,0.884,0.885,0.878,0,0.871,0.853,0.839,0,0.914,0,0,0,0,0,0.827,0,0,0,0,0.862,0.866,0.855,0.882,0.863,0,0.844,0.803,0.877,0
