"V1","V2"
"1","adams_speeches_000.txt"
"2","adams_speeches_001.txt"
"3","adams_speeches_002.txt"
"4","adams_speeches_003.txt"
"5","adams_speeches_004.txt"
"6","bush_speeches_000.txt"
"7","bush_speeches_001.txt"
"8","bush_speeches_002.txt"
"9","bush_speeches_003.txt"
"10","bush_speeches_004.txt"
"11","gwbush_speeches_000.txt"
"12","gwbush_speeches_001.txt"
"13","gwbush_speeches_002.txt"
"14","gwbush_speeches_003.txt"
"15","jefferson_speeches_000.txt"
"16","jefferson_speeches_001.txt"
"17","jefferson_speeches_002.txt"
"18","jefferson_speeches_003.txt"
"19","reagan_speeches_002.txt"
"20","reagan_speeches_003.txt"
"21","reagan_speeches_004.txt"
"22","reagan_speeches_005.txt"
"23","washington_speeches_000.txt"
"24","washington_speeches_001.txt"
"25","washington_speeches_002.txt"
"26","washington_speeches_003.txt"
