"","x"
"will",1028
"state",634
"peopl",617
"can",499
"govern",493
"nation",466
"one",427
"countri",416
"now",406
"presid",361
"american",336
"slaveri",335
"year",335
"time",327
"make",311
"must",307
"new",298
"right",297
"may",285
"think",280
"say",278
"unit",278
"great",273
"work",271
"question",269
"world",255
"slave",251
"law",245
"constitut",230
"well",222
"shall",221
"congress",218
"america",217
"know",205
"man",204
"everi",202
"just",202
"part",201
"free",199
"territori",199
"take",198
"made",197
"union",196
"live",190
"let",186
"want",182
"first",181
"missouri",178
"good",176
"thing",176
"day",174
"upon",174
"principl",170
"men",169
"never",164
"feder",163
"without",158
"believ",157
"peac",157
"public",155
"last",154
"mani",154
"way",153
"also",152
"power",152
"come",150
"said",150
"citizen",149
"nebraska",149
"senat",149
"tax",147
"need",146
"help",145
"compromis",144
"act",143
"call",139
"life",139
"give",138
"whether",138
"much",137
"bill",135
"care",135
"vote",135
"like",134
"still",133
"war",133
"hope",132
"ask",131
"hous",130
"present",129
"program",129
"use",129
"ever",128
"measur",127
"continu",124
"two",124
"famili",123
"chang",122
"mean",122
"place",121
"provid",121
"back",120
"futur",120
"forc",119
"today",119
"fact",118
"long",118
"see",118
"dont",117
"administr",116
"even",116
"better",115
"line",115
"differ",112
"interest",111
"general",110
"servic",110
"friend",109
"get",109
"parti",108
"whole",108
"secur",107
"within",107
"case",104
"point",103
"among",102
"declar",100
"human",100
"support",100
"object",99
"polici",99
"subject",99
"children",98
"author",97
"cut",97
"hand",97
"pass",96
"thank",96
"best",95
"system",95
"issu",94
"judg",94
"less",94
"other",94
"weve",94
"anoth",93
"begin",93
"direct",92
"job",92
"north",92
"polit",92
"import",91
"put",91
"south",91
"answer",90
"clay",89
"million",89
"yet",89
"repeal",88
"alreadi",87
"cours",87
"freedom",87
"elect",86
"exist",86
"problem",86
"provis",86
"respect",86
"vice",86
"bring",85
"communiti",85
"far",85
"old",85
"got",84
"done",82
"establish",82
"foreign",82
"increas",82
"meet",82
"busi",81
"soviet",81
"white",81
"form",80
"repres",80
"respons",80
"strong",80
"end",79
"equal",79
"health",79
"littl",79
"plan",79
"thought",79
"educ",78
"histori",78
"land",78
"noth",78
"propos",78
"spirit",78
"understand",78
"pay",77
"person",77
"practic",77
"talk",77
"washington",77
"number",76
"offic",76
"togeth",76
"control",75
"member",75
"sinc",75
"came",74
"creat",74
"execut",74
"governor",74
"keep",74
"kind",74
"look",74
"that",74
"honor",73
"ive",73
"prosper",73
"effect",72
"spend",72
"bush",71
"opportun",71
"purpos",71
"decis",70
"econom",70
"find",70
"requir",70
"effort",69
"lead",69
"open",69
"prohibit",69
"certain",68
"duti",68
"money",68
"particular",68
"stand",68
"argument",67
"becom",67
"faith",67
"necessari",67
"order",67
"trade",67
"wrong",67
"young",67
"ago",66
"given",66
"individu",66
"matter",66
"consid",65
"favor",65
"liberti",65
"remain",65
"show",65
"adopt",64
"economi",64
"express",64
"tell",64
"thus",64
"tri",64
"action",63
"defens",63
"justic",63
"move",63
"save",63
"father",62
"protect",62
"seem",62
"wish",62
"carri",61
"clear",61
"demand",61
"energi",61
"howev",61
"limit",61
"moral",61
"treati",61
"caus",60
"commit",60
"follow",60
"next",60
"republican",60
"tonight",60
"true",60
"view",60
"final",59
"mexico",59
"might",59
"term",59
"dollar",58
"home",58
"institut",58
"origin",58
"proper",58
"reason",58
"restor",58
"secretari",58
"confid",57
"consider",57
"democrat",57
"enough",57
"independ",57
"leadership",57
"major",57
"posit",57
"receiv",57
"return",57
"someth",57
"decid",56
"fair",56
"feel",56
"fellow",56
"god",56
"high",56
"hold",56
"negro",56
"valu",56
"inform",55
"address",54
"commerc",54
"danger",54
"extend",54
"found",54
"leav",54
"lehrer",54
"natur",54
"opinion",54
"rate",54
"recommend",54
"sure",54
"cost",53
"drug",53
"left",53
"organ",53
"possibl",53
"sever",53
"word",53
"debt",52
"expect",52
"invest",52
"real",52
"seek",52
"side",52
"trust",52
"billion",51
"budget",51
"desir",51
"dukaki",51
"idea",51
"love",51
"oppos",51
"taken",51
"three",51
"toward",51
"bless",50
"build",50
"civil",50
"concern",50
"heart",50
"promis",50
"thousand",50
"happi",49
"intend",49
"legislatur",49
"permit",49
"circumst",48
"death",48
"experi",48
"forward",48
"frame",48
"fund",48
"generat",48
"held",48
"name",48
"past",48
"prevent",48
"sacr",48
"allow",47
"deficit",47
"extens",47
"face",47
"happen",47
"month",47
"success",47
"turn",47
"aid",46
"deni",46
"mere",46
"near",46
"reduc",46
"school",46
"serv",46
"admit",45
"arm",45
"around",45
"beyond",45
"depend",45
"dougla",45
"militari",45
"perhap",45
"preserv",45
"produc",45
"relat",45
"sens",45
"west",45
"charact",44
"citi",44
"greater",44
"illinoi",44
"percent",44
"privat",44
"rais",44
"research",44
"social",44
"whose",44
"appear",43
"includ",43
"product",43
"run",43
"share",43
"societi",43
"yes",43
"alway",42
"choic",42
"claim",42
"incom",42
"learn",42
"prepar",42
"strength",42
"centuri",41
"common",41
"destroy",41
"engag",41
"maintain",41
"seen",41
"set",41
"speak",41
"whatev",41
"attempt",40
"away",40
"deal",40
"inde",40
"involv",40
"john",40
"leader",40
"least",40
"parent",40
"patriot",40
"properti",40
"renew",40
"therefor",40
"told",40
"agre",39
"chief",39
"fail",39
"franc",39
"growth",39
"judgment",39
"readi",39
"regard",39
"attent",38
"challeng",38
"determin",38
"half",38
"hundr",38
"legisl",38
"mention",38
"moment",38
"occas",38
"pleas",38
"precis",38
"small",38
"abl",37
"brought",37
"doubt",37
"improv",37
"intern",37
"mind",37
"offer",37
"proceed",37
"remov",37
"serious",37
"session",37
"univers",37
"across",36
"age",36
"conduct",36
"connect",36
"court",36
"depart",36
"divid",36
"lie",36
"local",36
"progress",36
"realli",36
"rule",36
"start",36
"suffici",36
"actual",35
"advanc",35
"condit",35
"convent",35
"event",35
"except",35
"loan",35
"mission",35
"oper",35
"perfect",35
"probabl",35
"rather",35
"second",35
"section",35
"soon",35
"struggl",35
"there",35
"theyr",35
"advantag",34
"estim",34
"goe",34
"liber",34
"lot",34
"ordin",34
"quit",34
"reform",34
"regul",34
"selfgovern",34
"singl",34
"speech",34
"week",34
"afford",33
"communic",33
"earth",33
"full",33
"group",33
"head",33
"join",33
"known",33
"larg",33
"necess",33
"often",33
"own",33
"portion",33
"river",33
"step",33
"women",33
"affect",32
"alon",32
"amend",32
"cant",32
"charg",32
"colleg",32
"consent",32
"consequ",32
"encourag",32
"entir",32
"europ",32
"exampl",32
"former",32
"fulli",32
"gentlemen",32
"late",32
"read",32
"rememb",32
"result",32
"special",32
"stop",32
"though",32
"almost",31
"boundari",31
"choos",31
"develop",31
"enforc",31
"four",31
"gave",31
"ground",31
"ill",31
"indian",31
"insur",31
"laid",31
"negoti",31
"pledg",31
"reach",31
"safeti",31
"separ",31
"sincer",31
"suggest",31
"truth",31
"vessel",31
"weapon",31
"acquir",30
"anyth",30
"articl",30
"close",30
"domest",30
"price",30
"record",30
"southern",30
"suffer",30
"utah",30
"appli",29
"base",29
"campaign",29
"child",29
"contain",29
"discuss",29
"district",29
"dream",29
"employ",29
"enemi",29
"essenti",29
"labor",29
"light",29
"messag",29
"mistak",29
"oblig",29
"period",29
"restrict",29
"settlement",29
"situat",29
"specif",29
"texa",29
"till",29
"unless",29
"yield",29
"agreement",28
"break",28
"cell",28
"credit",28
"democraci",28
"especi",28
"exclud",28
"expens",28
"extent",28
"grow",28
"hes",28
"main",28
"neither",28
"oppon",28
"purchas",28
"reduct",28
"resourc",28
"safe",28
"send",28
"sentiment",28
"sometim",28
"ten",28
"watch",28
"accept",27
"addit",27
"affair",27
"alli",27
"appropri",27
"born",27
"carolina",27
"chanc",27
"council",27
"crisi",27
"distinguish",27
"due",27
"expedi",27
"hard",27
"immedi",27
"knowledg",27
"latter",27
"minist",27
"opposit",27
"pursu",27
"report",27
"short",27
"simpli",27
"threaten",27
"took",27
"wise",27
"destruct",26
"didnt",26
"divis",26
"enabl",26
"evid",26
"exact",26
"five",26
"henri",26
"influenc",26
"isnt",26
"minut",26
"nuclear",26
"observ",26
"possess",26
"process",26
"rest",26
"revenu",26
"saw",26
"task",26
"welfar",26
"accord",25
"achiev",25
"agricultur",25
"assur",25
"attack",25
"buy",25
"command",25
"controversi",25
"difficult",25
"either",25
"emancip",25
"evil",25
"fight",25
"inflat",25
"initi",25
"intent",25
"legal",25
"letter",25
"market",25
"met",25
"neighbor",25
"panama",25
"promot",25
"proviso",25
"relief",25
"repeat",25
"reward",25
"troubl",25
"understood",25
"western",25
"your",25
"africa",24
"argu",24
"exercis",24
"french",24
"languag",24
"longer",24
"proud",24
"render",24
"resolv",24
"revolut",24
"sea",24
"stem",24
"voic",24
"youv",24
"big",23
"black",23
"branch",23
"commission",23
"conclus",23
"crime",23
"deepli",23
"deliber",23
"guard",23
"hear",23
"honest",23
"insist",23
"lose",23
"memori",23
"plain",23
"princip",23
"realiz",23
"recent",23
"refus",23
"resist",23
"rise",23
"settl",23
"strengthen",23
"virginia",23
