postcode,area_name,latitude,longitude,state
2898,Lord Howe Island,-31.55,159.08,NSW
2481,Broken Head,-28.72,153.59,NSW
2481,Byron Bay,-28.72,153.59,NSW
2481,Ewingsdale,-28.72,153.59,NSW
2481,Hayters Hill,-28.72,153.59,NSW
2481,Myocum,-28.72,153.59,NSW
2481,Skinners Shoot,-28.72,153.59,NSW
2481,Suffolk Park,-28.72,153.59,NSW
2481,Talofa,-28.72,153.59,NSW
2481,Tyagarah,-28.72,153.59,NSW
2489,Hastings Point,-28.36,153.58,NSW
2489,Pottsville,-28.36,153.58,NSW
2489,Pottsville Beach,-28.36,153.58,NSW
2487,Casuarina,-28.3,153.57,NSW
2487,Chinderah,-28.3,153.57,NSW
2487,Cudgen,-28.3,153.57,NSW
2487,Duranbah,-28.3,153.57,NSW
2487,Fingal Head,-28.3,153.57,NSW
2487,Kings Forest,-28.3,153.57,NSW
2487,Kingscliff,-28.3,153.57,NSW
2487,Stotts Creek,-28.3,153.57,NSW
2478,Ballina,-28.87,153.56,NSW
2478,Coolgardie,-28.87,153.56,NSW
2478,Cumbalum,-28.87,153.56,NSW
2478,East Ballina,-28.87,153.56,NSW
2478,Empire Vale,-28.87,153.56,NSW
2478,Keith Hall,-28.87,153.56,NSW
2478,Lennox Head,-28.87,153.56,NSW
2478,Patchs Beach,-28.87,153.56,NSW
2478,Pimlico,-28.87,153.56,NSW
2478,Pimlico Island,-28.87,153.56,NSW
2478,Skennars Head,-28.87,153.56,NSW
2478,South Ballina,-28.87,153.56,NSW
2478,Teven,-28.87,153.56,NSW
2478,Tintenbar,-28.87,153.56,NSW
2478,West Ballina,-28.87,153.56,NSW
2485,Tweed Heads,-28.18,153.54,NSW
2485,Tweed Heads West,-28.18,153.54,NSW
2486,Banora Point,-28.21,153.54,NSW
2486,Bilambil,-28.21,153.54,NSW
2486,Bilambil Heights,-28.21,153.54,NSW
2486,Bungalora,-28.21,153.54,NSW
2486,Carool,-28.21,153.54,NSW
2486,Cobaki,-28.21,153.54,NSW
2486,Cobaki Lakes,-28.21,153.54,NSW
2486,Duroby,-28.21,153.54,NSW
2486,Glengarrie,-28.21,153.54,NSW
2486,Piggabeen,-28.21,153.54,NSW
2486,Terranora,-28.21,153.54,NSW
2486,Tweed Heads South,-28.21,153.54,NSW
2486,Upper Duroby,-28.21,153.54,NSW
2488,Bogangar,-28.33,153.54,NSW
2488,Cabarita Beach,-28.33,153.54,NSW
2488,Tanglewood,-28.33,153.54,NSW
2483,Billinudgel,-28.5,153.53,NSW
2483,Brunswick Heads,-28.5,153.53,NSW
2483,Burringbar,-28.5,153.53,NSW
2483,Crabbes Creek,-28.5,153.53,NSW
2483,Middle Pocket,-28.5,153.53,NSW
2483,Mooball,-28.5,153.53,NSW
2483,New Brighton,-28.5,153.53,NSW
2483,Ocean Shores,-28.5,153.53,NSW
2483,Sleepy Hollow,-28.5,153.53,NSW
2483,South Golden Beach,-28.5,153.53,NSW
2483,The Pocket,-28.5,153.53,NSW
2483,Upper Burringbar,-28.5,153.53,NSW
2483,Wooyung,-28.5,153.53,NSW
2483,Yelgun,-28.5,153.53,NSW
2479,Bangalow,-28.69,153.52,NSW
2479,Binna Burra,-28.69,153.52,NSW
2479,Brooklet,-28.69,153.52,NSW
2479,Coopers Shoot,-28.69,153.52,NSW
2479,Coorabell,-28.69,153.52,NSW
2479,Fernleigh,-28.69,153.52,NSW
2479,Knockrow,-28.69,153.52,NSW
2479,Mcleods Shoot,-28.69,153.52,NSW
2479,Nashua,-28.69,153.52,NSW
2479,Newrybar,-28.69,153.52,NSW
2479,Possum Creek,-28.69,153.52,NSW
4225,Bilinga,-28.16,153.51,QLD
4225,Coolangatta,-28.16,153.51,QLD
4224,Tugun,-28.14,153.49,QLD
4224,Tugun Heights,-28.14,153.49,QLD
4223,Currumbin,-28.14,153.48,QLD
4223,Currumbin DC,-28.14,153.48,QLD
4223,Currumbin Valley,-28.14,153.48,QLD
4223,Currumbin Waters,-28.14,153.48,QLD
2490,North Tumbulgum,-28.27,153.47,NSW
2490,Tumbulgum,-28.27,153.47,NSW
4221,Elanora,-28.14,153.47,QLD
4221,Palm Beach,-28.14,153.47,QLD
2477,Alstonvale,-28.81,153.45,NSW
2477,Alstonville,-28.81,153.45,NSW
2477,Bagotville,-28.81,153.45,NSW
2477,Cabbage Tree Island,-28.81,153.45,NSW
2477,Dalwood,-28.81,153.45,NSW
2477,East Wardell,-28.81,153.45,NSW
2477,Goat Island,-28.81,153.45,NSW
2477,Lynwood,-28.81,153.45,NSW
2477,Meerschaum Vale,-28.81,153.45,NSW
2477,Pearces Creek,-28.81,153.45,NSW
2477,Rous,-28.81,153.45,NSW
2477,Rous Mill,-28.81,153.45,NSW
2477,Tuckombil,-28.81,153.45,NSW
2477,Uralba,-28.81,153.45,NSW
2477,Wardell,-28.81,153.45,NSW
2477,Wollongbar,-28.81,153.45,NSW
4220,Burleigh BC,-28.09,153.45,QLD
4220,Burleigh DC,-28.09,153.45,QLD
4220,Burleigh Heads,-28.09,153.45,QLD
4220,Burleigh Town,-28.09,153.45,QLD
4220,Burleigh Waters,-28.09,153.45,QLD
4220,Miami,-28.09,153.45,QLD
2472,Broadwater,-29.01,153.44,NSW
2472,Buckendoon,-29.01,153.44,NSW
2472,Esk,-29.01,153.44,NSW
2472,Kilgin,-29.01,153.44,NSW
2472,Moonem,-29.01,153.44,NSW
2472,New Italy,-29.01,153.44,NSW
2472,Rileys Hill,-29.01,153.44,NSW
2472,Tabbimoble,-29.01,153.44,NSW
2472,The Gap,-29.01,153.44,NSW
2472,Trustums Hill,-29.01,153.44,NSW
2472,Woodburn,-29.01,153.44,NSW
2482,Goonengerry,-28.61,153.44,NSW
2482,Huonbrook,-28.61,153.44,NSW
2482,Koonyum Range,-28.61,153.44,NSW
2482,Main Arm,-28.61,153.44,NSW
2482,Montecollum,-28.61,153.44,NSW
2482,Mullumbimby,-28.61,153.44,NSW
2482,Mullumbimby Creek,-28.61,153.44,NSW
2482,Palmwoods,-28.61,153.44,NSW
2482,Upper Coopers Creek,-28.61,153.44,NSW
2482,Upper Main Arm,-28.61,153.44,NSW
2482,Upper Wilsons Creek,-28.61,153.44,NSW
2482,Wanganui,-28.61,153.44,NSW
2482,Wilsons Creek,-28.61,153.44,NSW
4183,Amity,-27.4,153.44,QLD
4183,Amity Point,-27.4,153.44,QLD
4183,Dunwich,-27.4,153.44,QLD
4183,North Stradbroke Island,-27.4,153.44,QLD
4183,Point Lookout,-27.4,153.44,QLD
4219,West Burleigh,-28.11,153.44,QLD
4218,Broadbeach,-28.03,153.43,QLD
4218,Broadbeach Waters,-28.03,153.43,QLD
4218,Mermaid Beach,-28.03,153.43,QLD
4218,Mermaid Waters,-28.03,153.43,QLD
4218,Nobby Beach,-28.03,153.43,QLD
4218,Pacific Fair,-28.03,153.43,QLD
4218,Q Supercentre,-28.03,153.43,QLD
4215,Australia Fair,-27.97,153.42,QLD
4215,Chirn Park,-27.97,153.42,QLD
4215,Labrador,-27.97,153.42,QLD
4215,Southport,-27.97,153.42,QLD
4215,Southport BC,-27.97,153.42,QLD
4215,Southport Park,-27.97,153.42,QLD
4228,Tallebudgera,-28.15,153.42,QLD
4228,Tallebudgera Valley,-28.15,153.42,QLD
4229,Bond University,-28.08,153.41,QLD
4216,Biggera Waters,-27.93,153.4,QLD
4216,Coombabah,-27.93,153.4,QLD
4216,Hollywell,-27.93,153.4,QLD
4216,Paradise Point,-27.93,153.4,QLD
4216,Runaway Bay,-27.93,153.4,QLD
4216,South Stradbroke,-27.93,153.4,QLD
4226,Clear Island Waters,-28.04,153.4,QLD
4226,Merrimac,-28.04,153.4,QLD
4226,Robina,-28.04,153.4,QLD
4226,Robina DC,-28.04,153.4,QLD
4227,Reedy Creek,-28.11,153.4,QLD
4227,Varsity Lakes,-28.11,153.4,QLD
4217,Benowa,-28.01,153.39,QLD
4217,Bundall,-28.01,153.39,QLD
4217,Bundall BC,-28.01,153.39,QLD
4217,Bundall DC,-28.01,153.39,QLD
4217,Chevron Island,-28.01,153.39,QLD
4217,Gold Coast MC,-28.01,153.39,QLD
4217,Isle Of Capri,-28.01,153.39,QLD
4217,Main Beach,-28.01,153.39,QLD
4217,Surfers Paradise,-28.01,153.39,QLD
4230,Robina Town Centre,-28.08,153.39,QLD
2473,Bundjalung,-29.09,153.38,NSW
2473,Doonbah,-29.09,153.38,NSW
2473,Evans Head,-29.09,153.38,NSW
2473,Iron Gates,-29.09,153.38,NSW
2473,South Evans Head,-29.09,153.38,NSW
