"","x"
"panama",0.26287463544925
"slaveri",0.1765855377029
"tax",0.167735205906833
"cell",0.150433291018119
"america",0.147262021098766
"work",0.140145151273219
"commend",0.139061248034513
"research",0.135678556489067
"constitut",0.133128050200735
"shall",0.129733445315428
"soviet",0.129565527369678
"stem",0.128690529969398
"today",0.127477806244036
"program",0.123774862167668
"upon",0.123667418313313
"prayer",0.123243810447608
"duti",0.122940401586892
"world",0.12082468358331
"let",0.120798495023861
"feder",0.118985689633482
"affection",0.116805781293148
"relief",0.116481883290631
"slave",0.116252736858447
"famili",0.115614962038751
"embryo",0.113631032559474
"territori",0.113322942343014
"freedom",0.111987743808548
"danburi",0.107975189309908
"assist",0.107598446680422
"associ",0.107334527906874
"friendsno",0.105937921587079
"titlefarewel",0.105937921587079
"bill",0.1054387583239
"commerc",0.103373933859997
"children",0.103198692911799
"law",0.102888379644725
"question",0.101725388046871
"missouri",0.10156891461241
"tonight",0.101037161463847
"issu",0.100608094102195
"general",0.0977364289068979
"nebraska",0.0975486466843647
"know",0.0964434051636002
"land",0.0964180946064728
"buri",0.0950263933417348
"communiti",0.0942343618630587
"weve",0.0926644467661022
"problem",0.0926439754191143
"vessel",0.0923348144461005
"thank",0.0918297581000244
"citizen",0.0916625964363692
"baptist",0.0908059388837467
"must",0.0904519775006229
"sell",0.0902798597270469
"farewel",0.08987261686902
"indian",0.0893305554813927
"mission",0.0889361978082252
"commission",0.0885408977472118
"job",0.0880350628136387
"bid",0.0878363055682619
"esteem",0.0875300818422068
"happi",0.087271343880006
"religion",0.087091569402247
"owe",0.0869503328028413
"offic",0.0867793377307981
"group",0.0865759290150472
"attend",0.0864569380679558
"state",0.0863456297928167
"dont",0.0857250907987605
"secretari",0.0856398424608665
"sad",0.0854439772315452
"respons",0.0852641287910562
"render",0.0850204752908719
"parti",0.0838336855053353
"cut",0.0836987056044102
"prohibit",0.0834662017699592
"treati",0.0832928733038799
"attack",0.0832398760416504
"religi",0.0829898146280207
"inform",0.0827634454392138
"clay",0.0823397461533761
"faithbas",0.0822013275969556
"washington",0.0820141292101663
"union",0.0817983832237929
"challeng",0.0817787179673195
"appreci",0.081755011946517
"vice",0.0813645831191346
"young",0.0813031276226306
"democrat",0.0809503270653405
"militari",0.0808765604095655
"humbl",0.0804150968361912
"present",0.0802341909436547
"communic",0.0802072826152787
"year",0.0801519162525006
"believ",0.0799825810974627
"remonstr",0.0797220464681673
"administr",0.0796465520489899
"forc",0.0795968367100667
"life",0.0795741968644389
"fund",0.0792039641019293
